date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:21	721/721	---M--	200	added ('OK')	text/plain	etag:%2256c44d53-2d1%22	http://www.clinica-sante.md/robots.txt		(from )
15:05:21	28361/28361	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Mar%202017%2012:05:22%20GMT	http://www.clinica-sante.md/acces-pacienti/	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/www.clinica-sante.md/acces-pacienti/index.html	(from )
15:05:22	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2204425bbdc6243fc6e54bf8984fe50330%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from http://www.clinica-sante.md/acces-pacienti/)
15:05:24	201221/201221	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bae591c081b857b62fb6205800d8174f%22	http://connect.facebook.net/ro_RO/sdk.js	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/connect.facebook.net/ro_RO/sdk.js	(from http://www.clinica-sante.md/acces-pacienti/)
15:05:24	729/729	---MCZ	200	added ('OK')	text/xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.clinica-sante.md/acces-pacienti/feed/	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/www.clinica-sante.md/acces-pacienti/feed/index.html	(from http://www.clinica-sante.md/acces-pacienti/)
15:05:24	15250/15250	---M--	200	added ('OK')	image/png	etag:%2256c44e2d-3b92%22	http://www.clinica-sante.md/wp-content/uploads/2015/02/favicon-4.png	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/www.clinica-sante.md/wp-content/uploads/2015/02/favicon-4.png	(from http://www.clinica-sante.md/acces-pacienti/)
15:05:25	166/166	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2026%20Mar%202017%2012:05:26%20GMT	http://www.clinica-sante.md/acces-pacienti/%s/profile.php?id=%s	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/www.clinica-sante.md/acces-pacienti/%s/profile.54d6d.delayed	(from http://connect.facebook.net/ro_RO/sdk.js)
15:05:27	24483/24483	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Mar%202017%2012:05:26%20GMT	http://www.clinica-sante.md/acces-pacienti/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/www.clinica-sante.md/acces-pacienti/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/ro_RO/sdk.js)
15:05:27	24369/24369	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Mar%202017%2012:05:26%20GMT	http://www.clinica-sante.md/acces-pacienti/dialog/	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/www.clinica-sante.md/acces-pacienti/dialog/index.html	(from http://connect.facebook.net/ro_RO/sdk.js)
15:05:28	29455/29455	---MC-	200	added ('OK')	text/javascript	date:Sat,%2018%20Mar%202017%2001:34:54%20GMT	http://www.google-analytics.com/analytics.js	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/www.google-analytics.com/analytics.js	(from http://www.clinica-sante.md/acces-pacienti/)
15:05:28	37463/37463	---M--	200	added ('OK')	image/png	etag:%2256c44e2a-9257%22	http://www.clinica-sante.md/wp-content/uploads/2015/01/logo.png	E:/Education/UTM%20(FCIM)/OneDrive%20-%20Technical%20University%20of%20Moldova/TI-153/Anul%202/Simestru%202/MIDPS/lab3/clinic/www.clinica-sante.md/wp-content/uploads/2015/01/logo.png	(from http://www.clinica-sante.md/acces-pacienti/)
